nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
7,2016-10-23,Y,SEA,6,0,0,0,3,3,11,3,14,0,0,257,52,205,0,4,10,90,ARI,6,0,3,0,0,3,23,10,21,0,1,443,132,311,0,1,6,45
7,2016-10-24,N,HOU,9,6,0,3,0,0,14,7,18,0,2,271,140,131,2,0,2,15,DEN,27,0,14,7,6,0,19,3,11,0,0,347,190,157,0,1,7,83
8,2016-10-27,N,JAX,22,0,0,8,14,0,27,6,13,0,1,370,48,322,1,0,7,75,TEN,36,3,24,6,3,0,25,9,15,0,0,494,214,280,0,2,7,54
8,2016-10-30,Y,WAS,27,7,3,7,10,0,30,8,17,0,2,546,100,446,1,3,15,106,CIN,27,7,0,13,7,0,35,8,15,0,0,415,152,263,2,1,7,85
8,2016-10-30,N,NE,41,14,10,14,3,0,23,9,13,0,0,357,72,285,0,2,10,116,BUF,25,3,7,7,8,0,25,4,13,2,4,376,167,209,0,5,12,84
8,2016-10-30,N,NYJ,31,0,7,14,10,0,21,7,15,1,1,393,171,222,0,1,5,37,CLE,28,10,10,0,8,0,22,8,16,0,0,407,68,339,2,2,2,10
8,2016-10-30,N,KC,30,3,14,7,6,0,20,7,16,0,0,422,88,334,0,6,6,40,IND,14,0,7,7,0,0,18,4,13,1,2,277,105,172,2,3,5,45
8,2016-10-30,N,SEA,20,7,7,3,3,0,15,5,11,0,1,359,74,285,1,2,11,76,NO,25,0,13,3,9,0,28,9,15,0,0,375,123,252,1,1,2,10
8,2016-10-30,Y,OAK,30,0,3,14,7,6,27,7,18,1,1,626,128,498,1,2,23,200,TB,24,3,7,0,14,0,18,4,13,0,0,270,102,168,0,2,6,64
8,2016-10-30,N,ARI,20,0,7,7,6,0,22,4,12,1,1,340,24,316,2,1,10,88,CAR,30,14,10,6,0,0,19,6,14,1,2,349,141,208,1,8,5,40
